id,prompt,refs,model,quality,resolution,aspectRatio
封面-sunset-west,图1是嘉然的角色设定（棕色长发、头顶一根呆毛、脑后大红色蝴蝶结、蓝色眼睛、个子娇小），图2是乃琳的角色设定（身材高挑、白色长发、蓝色眼睛、气质清冷）。为小说《日薄西山》绘制封面插画：傍晚的客厅，两位年长女性坐在朝西的窗边藤椅上，一位银白长发、一位棕色头发里夹着褪色的红蝴蝶结，两人都上了年纪、神情松弛。窗外院子里的桂花树高过屋顶，橙红色的落日正沉下去。温馨平静的晚年日常。日系动画风插画，精致唯美，电影感光影，色彩克制有层次，竖版 2:3 构图，画面上方保留大片留白。画面中不要出现任何文字。,refs/嘉然.png|refs/乃琳.png,gpt-image-2,medium,2K,2:3
封面-mirage-whisper,为小说《雾海低语》绘制封面插画：浓雾笼罩的废弃港口，一位短发少女抱着一张泛黄卷曲的旧海图站在栈桥上，手提一盏不会熄灭的灯，肩头停着一只乌鸦，远处是被海水吞没的城的轮廓。日系动画风插画，精致唯美，电影感光影，色彩克制有层次，竖版 2:3 构图，画面上方保留大片留白。画面中不要出现任何文字。,,gpt-image-2,medium,2K,2:3
封面-long-night-lamp,为小说《长夜燃灯》绘制封面插画：凌晨两点的旧书店门口，只亮着一盏昏黄的灯，雨丝斜落，一位湿透的年轻客人抱着没有封面的旧书站在柜台前，年长的店主在灯下抬眼看他，都市怪谈的静谧氛围。日系动画风插画，精致唯美，电影感光影，色彩克制有层次，竖版 2:3 构图，画面上方保留大片留白。画面中不要出现任何文字。,,gpt-image-2,medium,2K,2:3
封面-star-ferry,为小说《星河渡口》绘制封面插画：深空中的虚拟渡口，一位女性摆渡人站在巨大的舷窗控制台前，窗外是星河与一艘刚浮现的殖民舰，冷蓝色的星际氛围，孤独而辽阔。日系动画风插画，精致唯美，电影感光影，色彩克制有层次，竖版 2:3 构图，画面上方保留大片留白。画面中不要出现任何文字。,,gpt-image-2,medium,2K,2:3
封面-spring-hill,为小说《春山可望》绘制封面插画：细雨中的春山山脚，一间亮着昏黄灯光的小院，灶膛的火光透出来，一位落魄书生抱着书箱站在院门口，院内姑娘端着一碗热粥。中国古风田园，清淡的水墨感与暖光。日系动画风插画，精致唯美，电影感光影，色彩克制有层次，竖版 2:3 构图，画面上方保留大片留白。画面中不要出现任何文字。,,gpt-image-2,medium,2K,2:3
封面-corner-coffee,为小说《巷口咖啡店》绘制封面插画：暴雨中的小巷口，一家只有四张桌子的小咖啡店透出暖黄灯光，湿透的短发女生站在门口，吧台后的人正端出一杯拿铁，玻璃上满是雨痕。日系动画风插画，精致唯美，电影感光影，色彩克制有层次，竖版 2:3 构图，画面上方保留大片留白。画面中不要出现任何文字。,,gpt-image-2,medium,2K,2:3
封面-mirror-city,为小说《镜中城邦》绘制封面插画：齿轮与钟楼构成的城市最高处，立着一面通天的巨大镜子，镜中倒映着一座一模一样的城，镜前站着一位满身齿轮零件的年轻女工匠，蒸汽朋克童话氛围。日系动画风插画，精致唯美，电影感光影，色彩克制有层次，竖版 2:3 构图，画面上方保留大片留白。画面中不要出现任何文字。,,gpt-image-2,medium,2K,2:3
封面-scavenger-notes,为小说《拾荒者手记》绘制封面插画：老城区的旧物回收站门口，堆着旧家电与纸箱，一对父子蹲在地上翻开一本落灰的旧相册，午后斜光里浮着灰尘，现实主义市井温情。日系动画风插画，精致唯美，电影感光影，色彩克制有层次，竖版 2:3 构图，画面上方保留大片留白。画面中不要出现任何文字。,,gpt-image-2,medium,2K,2:3
封面-tide-letter,为小说《潮汐信》绘制封面插画：海边小镇的黄昏，一支锈迹斑斑的蓝色邮筒立在礁石边，一位女生蹲在邮筒旁，手里捏着一叠没有署名的信纸，海风吹起她的头发，远处是海平线和旧屋。日系动画风插画，精致唯美，电影感光影，色彩克制有层次，竖版 2:3 构图，画面上方保留大片留白。画面中不要出现任何文字。,,gpt-image-2,medium,2K,2:3
封面-rusted-anchor,图1是嘉然的角色设定（棕色长发、头顶一根呆毛、脑后大红色蝴蝶结、蓝色眼睛、个子娇小），图2是乃琳的角色设定（身材高挑、白色长发、蓝色眼睛、气质清冷）。为小说《锈蚀的锚与潮汐》绘制封面插画：凌晨两点空无一人的舞蹈室，冷白的顶灯把镜面照成一片刀锋，白发的乃琳独自站在镜前练舞，身影在镜中摇晃，嘉然坐在角落的地板上抱着膝盖看她，气氛压抑而紧绷。日系动画风插画，精致唯美，电影感光影，色彩克制有层次，竖版 2:3 构图，画面上方保留大片留白。画面中不要出现任何文字。,refs/嘉然.png|refs/乃琳.png,gpt-image-2,medium,2K,2:3
